cluster_id	KSLabel
0	mua
1	mua
2	mua
3	mua
4	mua
5	mua
6	mua
7	mua
8	mua
9	mua
10	mua
11	mua
12	mua
13	mua
14	good
15	good
16	mua
17	good
18	mua
19	mua
20	good
21	mua
22	mua
23	mua
24	mua
25	mua
26	mua
27	mua
28	mua
29	mua
30	mua
31	mua
32	mua
33	mua
34	mua
35	mua
36	mua
37	mua
38	mua
39	mua
40	good
41	mua
42	mua
43	mua
44	mua
45	mua
46	mua
47	mua
48	mua
49	mua
50	mua
51	mua
52	mua
53	mua
54	mua
55	mua
56	mua
57	good
58	mua
60	good
61	mua
62	good
63	mua
64	good
65	mua
66	mua
67	mua
68	mua
69	good
70	mua
71	mua
72	mua
73	good
74	mua
75	mua
76	mua
77	mua
78	mua
79	good
80	mua
81	mua
82	mua
83	mua
84	mua
85	mua
86	mua
87	mua
88	mua
89	mua
90	mua
91	mua
92	mua
94	mua
95	mua
96	mua
97	mua
98	mua
99	mua
100	mua
101	mua
102	mua
103	mua
104	mua
105	mua
106	good
107	mua
108	mua
109	good
110	mua
111	good
112	good
113	good
114	mua
115	mua
116	mua
118	mua
119	good
120	mua
121	good
122	mua
123	mua
124	mua
125	good
126	good
127	mua
128	mua
129	good
130	good
131	good
133	mua
134	mua
136	mua
140	good
143	good
145	mua
147	good
148	mua
151	good
152	mua
153	mua
154	good
156	mua
157	mua
158	mua
159	mua
160	mua
161	mua
162	mua
163	mua
164	mua
165	mua
166	mua
167	mua
168	mua
169	mua
170	mua
172	good
173	mua
174	good
175	good
176	mua
177	good
178	mua
179	good
181	good
182	good
183	good
184	mua
185	good
186	mua
187	good
188	mua
189	mua
190	good
191	mua
193	mua
195	mua
197	mua
198	good
199	mua
200	good
201	good
203	mua
204	mua
205	good
206	mua
207	mua
208	mua
209	mua
211	mua
212	good
214	mua
216	good
219	mua
220	mua
221	mua
222	mua
223	good
224	mua
225	mua
226	mua
227	mua
228	mua
229	mua
230	mua
231	mua
232	good
233	mua
234	mua
235	mua
236	mua
237	good
238	mua
239	mua
240	mua
241	mua
242	mua
243	good
244	good
245	mua
246	mua
247	mua
248	good
249	good
250	mua
251	mua
252	mua
253	good
255	mua
257	mua
263	mua
264	mua
265	good
266	mua
267	mua
269	good
271	good
272	mua
275	mua
276	mua
277	mua
278	good
279	mua
285	mua
287	mua
288	mua
289	good
292	good
293	good
295	mua
296	good
297	good
298	good
299	good
300	good
301	good
303	good
304	good
309	mua
313	mua
314	good
316	good
320	good
321	good
322	good
323	mua
324	mua
325	mua
326	mua
327	mua
328	mua
329	mua
330	mua
331	mua
332	mua
333	mua
334	mua
335	mua
336	mua
337	mua
338	mua
339	mua
340	mua
341	mua
342	mua
343	mua
344	mua
345	mua
346	mua
347	mua
348	mua
349	mua
350	mua
351	mua
352	mua
353	mua
354	mua
355	mua
356	mua
357	mua
358	mua
359	good
360	mua
361	mua
362	mua
363	good
364	mua
365	mua
366	mua
367	mua
368	mua
369	mua
370	mua
371	good
372	mua
373	mua
374	mua
375	good
376	good
377	mua
378	mua
379	mua
380	good
381	mua
382	good
383	mua
384	mua
385	mua
386	mua
387	mua
388	mua
389	mua
390	mua
391	mua
392	good
393	mua
394	mua
395	mua
396	mua
397	mua
398	mua
399	mua
400	mua
401	mua
402	mua
403	mua
404	mua
405	mua
406	mua
407	mua
408	mua
409	mua
410	mua
411	mua
412	mua
413	mua
414	mua
415	mua
416	mua
417	mua
418	good
419	mua
420	mua
421	mua
422	mua
423	mua
424	mua
425	mua
426	mua
427	mua
428	mua
429	mua
430	good
431	good
432	good
433	good
434	mua
435	mua
436	mua
437	good
438	good
439	good
440	good
441	good
442	good
443	good
444	good
446	mua
448	good
449	mua
450	mua
451	good
452	good
456	mua
457	mua
458	mua
459	mua
460	mua
461	mua
462	mua
463	good
464	mua
465	mua
466	mua
467	good
468	mua
469	mua
470	good
471	mua
472	mua
473	mua
474	mua
475	mua
476	mua
477	mua
478	good
479	good
480	mua
481	good
482	good
483	mua
484	mua
485	mua
486	mua
487	good
488	mua
489	mua
490	mua
491	good
492	good
493	mua
494	mua
495	mua
496	good
497	mua
498	mua
499	mua
500	mua
501	mua
503	mua
504	good
505	good
506	mua
507	mua
508	mua
509	mua
510	mua
511	good
512	mua
513	mua
514	mua
515	mua
516	good
517	mua
518	good
519	mua
520	good
521	mua
522	mua
523	mua
524	mua
525	mua
526	mua
527	mua
528	mua
529	mua
530	good
531	mua
532	mua
533	mua
534	mua
535	good
536	mua
537	mua
538	mua
539	mua
540	good
541	mua
542	mua
545	good
546	good
547	mua
548	good
549	good
550	mua
552	mua
555	mua
557	good
558	mua
561	good
562	good
563	good
565	mua
566	mua
567	mua
568	mua
569	mua
570	mua
571	mua
572	mua
573	mua
574	good
575	mua
576	mua
577	mua
578	good
579	mua
580	mua
581	mua
582	mua
583	mua
584	mua
585	mua
586	mua
587	mua
588	mua
589	mua
590	mua
591	mua
592	mua
593	mua
594	mua
595	mua
596	mua
597	mua
598	mua
599	mua
600	mua
601	mua
602	mua
603	mua
604	mua
605	mua
606	mua
607	mua
608	mua
609	good
610	mua
611	mua
612	mua
613	mua
614	mua
615	good
616	mua
617	mua
618	mua
619	mua
620	good
621	mua
622	good
623	mua
624	good
627	mua
628	mua
629	mua
630	mua
631	mua
632	good
633	mua
634	mua
635	mua
636	mua
637	good
638	mua
639	mua
640	mua
641	mua
642	mua
643	good
644	mua
645	good
646	mua
647	good
648	mua
649	mua
650	mua
651	mua
652	mua
653	mua
654	mua
655	mua
656	good
657	mua
658	good
659	good
660	mua
661	good
662	mua
663	mua
664	mua
665	mua
666	mua
667	mua
668	mua
669	mua
670	mua
671	mua
672	mua
673	mua
674	mua
675	good
676	good
677	mua
678	mua
679	good
680	good
681	mua
683	mua
684	mua
685	good
686	mua
687	mua
688	mua
689	mua
690	mua
691	mua
692	mua
693	mua
694	mua
695	mua
696	mua
697	mua
698	mua
699	mua
700	mua
701	mua
702	mua
703	mua
704	mua
705	mua
706	mua
707	mua
708	mua
709	mua
710	mua
711	good
712	mua
713	mua
714	good
715	mua
716	mua
717	mua
718	good
719	mua
720	good
721	mua
722	mua
723	good
724	mua
725	mua
726	mua
727	mua
728	mua
729	mua
730	good
731	good
732	mua
733	mua
734	mua
735	mua
736	good
737	mua
738	mua
739	mua
740	mua
741	mua
742	good
743	mua
744	mua
745	good
746	mua
747	mua
748	good
749	good
751	good
752	good
754	good
757	good
759	good
762	good
763	good
764	good
766	good
767	good
769	good
770	good
772	good
773	good
774	good
