cluster_id	group
12	mua
13	mua
39	mua
40	mua
41	mua
45	mua
51	mua
60	mua
64	mua
65	mua
76	mua
86	mua
106	mua
130	mua
148	mua
151	good
154	good
157	mua
175	mua
177	mua
181	good
187	mua
200	mua
201	mua
212	mua
231	mua
238	mua
252	mua
253	good
265	good
269	mua
271	good
275	mua
278	good
279	mua
287	mua
289	mua
292	mua
296	mua
297	mua
298	mua
299	mua
300	good
301	mua
303	mua
304	mua
314	mua
316	mua
320	mua
321	good
322	good
323	mua
324	mua
326	mua
327	mua
329	mua
330	mua
331	mua
332	mua
360	mua
382	mua
431	mua
511	mua
548	mua
561	mua
562	mua
620	mua
680	mua
720	mua
749	mua
751	mua
752	mua
754	mua
757	mua
759	mua
762	mua
763	mua
764	mua
766	mua
767	mua
769	mua
770	mua
772	mua
773	mua
774	mua
